law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority
Law Office of Leslie A Williams,http://lesliewilliamslaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJb_N9bEsawYcRv5Ohs876CBc,,Blue Springs,MO,Jackson,(816) 220-1781,,Personal Injury,1114 W Main St,64015,Kansas City,5
Law Offices of Dana Outlaw,http://danaoutlawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJyfAeYKYbwYcRUdmIPLPvUEE,,Blue Springs,MO,Jackson,(816) 293-2156,dana@danaoutlawfirm.com,Family Law,1946 NW Copper Oaks Cir,64015,Kansas City,4
"Law Offices of Robert Alton Clarke, LLC",https://www.grundydisabilitygroup.com,,,Blue Springs,MO,Jackson,(816) 394-7900,info@grundydisabilitygroup.com,Social Security Disability,1114 W Main St,64015,Kansas City,1
Legal Fulfillment Group,http://www.lfg-kc.com,,,Blue Springs,MO,Jackson,(816) 810-6154,,General,216 SW Elmwood Dr,64014,Kansas City,4
"Lighthouse Legal, LLC",http://www.lighthouselegalkc.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,https://www.google.com/maps/place/?q=place_id:ChIJj_38eKsbwYcRRMJHJTT5uz4,,Blue Springs,MO,Jackson,(816) 228-4383,Info@LighthouseLegalKC.com,Estate Planning,1401 NW Jefferson St,64015,Kansas City,2
McLaughlin Law LLC,https://www.mclaughlinlawkc.com/about-us/,https://www.google.com/maps/place/?q=place_id:ChIJn06u_FQawYcRhf_JJZUM9PA,,Blue Springs,MO,Jackson,(816) 944-1735,,Personal Injury,601 NW Jefferson St,64014,Kansas City,5
Mitchell & Associates LC,https://www.mitchellandassociateslc.com/,https://www.google.com/maps/place/?q=place_id:ChIJJ_h3HckbwYcR2xc5DQpeY50,,Blue Springs,MO,Jackson,(816) 224-1100,David@bluespringslaw.com,DUI,1080 NW S Outer Rd,64015,Kansas City,5
Moore Law LLC,,https://www.google.com/maps/place/?q=place_id:ChIJ8Wqd4qsbwYcRIOntXT7mANs,,Blue Springs,MO,Jackson,(816) 229-7270,,Criminal Defense,1200 NW S Outer Rd,64015,Kansas City,5
Mullins Law Firm,http://legalattorneybluesprings.com,,,Blue Springs,MO,Jackson,(816) 318-7976,,General,1400 NW South Outer Rd Ste C,64015,Kansas City,4
Oswald Rew LLC,http://www.or-law.com/,https://www.google.com/maps/place/?q=place_id:ChIJw4jjo1YawYcRpVKv5JRGa6c,,Blue Springs,MO,Jackson,(816) 229-8121,info@or-law.com,Personal Injury,601 NW Jefferson St # 1,64014,Kansas City,5
"Shrout, Howard L - Howard Shrout Law Office",,,,Blue Springs,MO,Jackson,(816) 229-3330,,General,1124 W Main St,64015,Kansas City,4
"Spiegel Law, LLC",http://www.spiegellaw.net/,https://www.google.com/maps/place/?q=place_id:ChIJxaPGgnAawYcRCUAyRtvXmj8,,Blue Springs,MO,Jackson,(816) 229-2132,,Personal Injury,1400 SW State Rte 7,64014,Kansas City,5
Stansell Walter,,https://www.google.com/maps/place/?q=place_id:ChIJKYHuav4cwYcRtUYYngADlIM,,Blue Springs,MO,Jackson,(816) 795-0800,,Personal Injury,1200 NW S Outer Rd Suite 110,64015,Kansas City,5
Starke Law Office,https://www.starkelawoffices.com/?npcmp=dir:local:1568363:64015,https://www.google.com/maps/place/?q=place_id:ChIJs24CzUwawYcRSLSsclpxdT4,,Blue Springs,MO,Jackson,(816) 229-9111,,Personal Injury,801 NW Vesper St,64015,Kansas City,5
The Cochran Law Firm LLC.,http://jackcochranlaw.com,,,Blue Springs,MO,Jackson,(816) 229-2661,,General,1080 NW South Outer Rd,64015,Kansas City,4
The Mullins Law Firm,http://jeffmullinslaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJc4LDQKkbwYcR2N7I1s5qmIw,,Blue Springs,MO,Jackson,(816) 463-3010,mary@jeffmullinslaw.com,Criminal Defense,601 NW Jefferson St Ste 3,64014,Kansas City,5
The Storie Tax Lawyers,,,,Blue Springs,MO,Jackson,(816) 287-2328,,General,22400 NW Pink Hill Rd,64015,Kansas City,4
Troy J. Leavitt Law Firm,https://leavittlawonline.com/,https://www.google.com/maps/place/?q=place_id:ChIJF68oPhX9wIcR9ceAou5r6wI,,Blue Springs,MO,Jackson,(816) 228-6000,troy@leavittlawonline.com,Personal Injury,1500 NW Hwy 7 #300,64014,Kansas City,5
"Waits Family Law, LLC",http://waitsfamilylaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ24_BxhgbwYcRxolSuonQx0Q,,Blue Springs,MO,Jackson,(816) 541-8600,,General,601 NW Jefferson St #8,64014,Kansas City,4
"Weigel Law Office, LLC",http://weigellawllc.com/www.weigellawllc.com,https://www.google.com/maps/place/?q=place_id:ChIJAQD8yq8QwYcRtoxShPjdGNQ,,Blue Springs,MO,Jackson,(816) 516-6555,,General,505 Foot Hill Dr,64029,Kansas City,4
Williston Law Firm,https://willistonlawfirm.com/,https://www.google.com/maps/place/?q=place_id:ChIJazsi4PoZwYcRBgbu-6AOiFE,,Blue Springs,MO,Jackson,(913) 207-5450,logo@2x.png,Personal Injury,201 SE Williamsburg Dr,64014,Kansas City,5
Phillips John J,,,,Grain Valley,MO,Jackson,(816) 847-5550,,General,302 S Main St,64029,Kansas City,4
"The Law Office of Lorri L. Wilbee-Kobe, LLC",,https://www.google.com/maps/place/?q=place_id:ChIJJVmAMNwQwYcRXOym46pAuiI,,Grain Valley,MO,Jackson,(816) 847-2606,,Criminal Defense,510 N Main St,64029,Kansas City,5
Valley Law,https://valleylawkc.com/,https://www.google.com/maps/place/?q=place_id:ChIJFYbtzW8RwYcRAlyiY5Uj2ws,,Grain Valley,MO,Jackson,(816) 443-8922,info@valleylawkc.com,Estate Planning,115 SW Eagles Pkwy,64029,Kansas City,2
Weigel Law Office LLC,,https://www.google.com/maps/place/?q=place_id:ChIJ9SeqIrsQwYcRuTcWar6qe_M,,Grain Valley,MO,Jackson,(816) 443-2192,,Criminal Defense,1422 SW Eagles Pkwy,64029,Kansas City,5
C Curry Charles Attorney,,,,Grandview,MO,Jackson,(816) 761-7575,,General,12718 S US Highway 71,64030,Kansas City,4
Crow Donald L,http://www.kansas-city-criminal-law-attorney.com/,https://www.google.com/maps/place/?q=place_id:ChIJtxeF-WfdwIcRTuN8N-3DMJI,,Grandview,MO,Jackson,(816) 765-7888,donaldlcrow@gmail.com,Personal Injury,1323 Main St,64030,Kansas City,5
Darrell W Moore Attorney at Law,,https://www.google.com/maps/place/?q=place_id:ChIJXaTVSATdwIcRj5f6gKPIbww,,Grandview,MO,Jackson,(816) 380-7500,,Personal Injury,14214 S U.S. 71 Hwy,64106,Kansas City,5
David Curotto Law Office,http://curottolaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJKXm_rnfdwIcRukYf-pbpDE4,,Grandview,MO,Jackson,(816) 832-8099,david@curottolaw.com,Personal Injury,13010 White Ave STE B,64106,Kansas City,5
Gersh & Reppell,,https://www.google.com/maps/place/?q=place_id:ChIJx_ELV2LdwIcRpDBecxELywE,,Grandview,MO,Jackson,(816) 761-6161,,Criminal Defense,12507 Grandview Rd,64106,Kansas City,5
"Gillerra Law, LLC",https://gillerralaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ_wvyfMTdwIcRNzNGGqrZSC4,,Grandview,MO,Jackson,(816) 908-7721,admin@gillerralaw.com,Estate Planning,1503 Main St,64030,Kansas City,2
Lauri J. Laughland Attorney and Counselor at Law,https://www.laughlandlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ_7ncWWXdwIcRinPLh-FRhF0,,Grandview,MO,Jackson,(816) 765-5666,,Personal Injury,12220 Blue Ridge Blvd Suite G,64106,Kansas City,5
Law Offices of Michael E. Lungstrum,http://michaellungstrumlaw.com,,,Grandview,MO,Jackson,(816) 447-0919,,General,723 Main St,64030,Kansas City,4
"Michael R. Lawless, P.C.",http://kcworkcompattorney.com/,https://www.google.com/maps/place/?q=place_id:ChIJweOIrnfdwIcRePWfYAwOAeA,,Grandview,MO,Jackson,(816) 966-0099,271e9fa3230b4eec94b02bf95780f5f2@sentry.wixpress.com,Personal Injury,13010 White Ave,64106,Kansas City,5
Peebles Law Office,http://www.peebleslawoffice.com/,https://www.google.com/maps/place/?q=place_id:ChIJxTA8QW7dwIcR1H2kV8pnrSs,,Grandview,MO,Jackson,(816) 767-1400,peebleslawoffice@gmail.com,Personal Injury,1102 Main St,64030,Kansas City,5
Ryan Law Center,http://jryanlaw.com,https://www.google.com/maps/place/?q=place_id:ChIJCdRrbAvdwIcRfakzba0MNyw,,Grandview,MO,Jackson,(816) 966-9800,,General,13601 E Frontage Rd,64106,Kansas City,4
A2JLaw,https://a2jlaw.org,,,Independence,MO,Jackson,(816) 503-6739,,General,19401 E US Highway 40 Ste 130,64055,Kansas City,4
"Albano, Richart, Welch & Bajackson, LLC",https://www.arwblegal.com/,https://www.google.com/maps/place/?q=place_id:ChIJ63bM6D_9wIcRcgJ8ErZeQKs,,Independence,MO,Jackson,(816) 836-8000,,Criminal Defense,311 W Kansas Ave,64050,Kansas City,5
Aldana's Business Tax Relief Lawyers,,,,Independence,MO,Jackson,(816) 832-4547,,General,1525 E 23rd St S,64055,Kansas City,4
Anthony M Totta Law Office,http://www.jimcrabtreelaw.com,https://www.google.com/maps/place/?q=place_id:ChIJzQs_tFUdwYcRHzn6WfQ3QDw,,Independence,MO,Jackson,(816) 252-2332,,Personal Injury,19049 E Valley View Pkwy ste. b,64102,Kansas City,5
Baldwin & Vernon,https://baldwinvernon.com,,,Independence,MO,Jackson,(816) 842-1102,,DUI,108 S Pleasant St,64050,Kansas City,5
Beck & Beck Missouri Car Accident Lawyers,https://becklawmo.com/independence-mo-car-accident-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gbp_independence,https://www.google.com/maps/place/?q=place_id:ChIJcb6gNOj9wIcRGvGPSOwp95M,,Independence,MO,Jackson,(816) 382-6915,,Personal Injury,136 E Walnut St #351,64050,Kansas City,5
Boatright Law LLC,http://www.boatright-law.com/,https://www.google.com/maps/place/?q=place_id:ChIJM5FcWqH9wIcRrMu1y_evbfg,,Independence,MO,Jackson,(816) 534-9068,,Family Law,4224 South Hocker Ave Building 11,64055,Kansas City,4
Boman Dennis A,http://bomanlaw.com,,,Independence,MO,Jackson,(816) 461-5100,,General,2601 S Hub Dr,64055,Kansas City,4
Boyd Kenter Thomas & Parrish LLC,http://www.bktplaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJxU4-AED9wIcRH0DkdNYxums,,Independence,MO,Jackson,(816) 471-4511,boydkenterthomasparrish@gmail.com,Personal Injury,221 W Lexington Ave,64050,Kansas City,5
Bratcher Gockel Law,http://www.bgklawyers.com/,https://www.google.com/maps/place/?q=place_id:ChIJ0YCe8F3wwIcRBBQqC1buOPE,,Independence,MO,Jackson,(816) 221-1614,lynne@bgklawyers.com,Employment Law,4014b S Lynn Ct Dr,64055,Kansas City,3
Bright Bankruptcy Firm,http://www.brightbk.com/independence-bankruptcy-attorney/,,,Independence,MO,Jackson,(816) 537-1600,,General,13720 E 42nd Ter S #200,64055,Kansas City,4
Burnett Law Office,http://www.independencetraffictickets.com/,https://www.google.com/maps/place/?q=place_id:ChIJmU3AfGr9wIcRamUar4BLJGs,,Independence,MO,Jackson,(816) 254-0400,,Criminal Defense,201 N Spring St,64050,Kansas City,5
Centurion law office,http://www.centurionlawoffice.com,,,Independence,MO,Jackson,(816) 350-1859,,General,17201 E US Highway 40,64055,Kansas City,4
Child's Play LLC,http://childsplayllc.com,,,Independence,MO,Jackson,(816) 254-4130,,General,9611 E Truman Rd,64052,Kansas City,4
"Constance, Minton & Baker LLC",https://www.cmb-legal.com/,https://www.google.com/maps/place/?q=place_id:ChIJ4aJQjhX9wIcRUr0ZFzw6GF4,,Independence,MO,Jackson,(816) 833-1800,,General,501 W Lexington Ave,64050,Kansas City,4
Cook Ellis LLC,https://www.cookellislaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJK44nlEH9wIcRge7nvtgsYgk,,Independence,MO,Jackson,(816) 376-3266,,DUI,4016 S Lynn Ct Dr,64055,Kansas City,5
Cordell & Cordell | Family Law & Divorce,https://cordellcordell.com/offices/missouri/independence/,https://www.google.com/maps/place/?q=place_id:ChIJvyykDbYfwYcR--WNp7C4L6s,,Independence,MO,Jackson,(816) 842-2400,contactus@cordelllaw.com,Family Law,4200 Little Blue Pkwy #550,64057,Kansas City,4
Crabtree Law Office,,,,Independence,MO,Jackson,(816) 214-9080,,General,19049 E Valley View Pkwy,64055,Kansas City,4
David Wylie,http://www.wylielawkc.com/,https://www.google.com/maps/place/?q=place_id:ChIJ-d1Q6k_9wIcRpYvYNVvA1Gk,,Independence,MO,Jackson,(816) 836-3619,amkryukov@gmail.com,Personal Injury,201 N Spring St,64050,Kansas City,5
"Deluccie & O'Hara Law Offices, LLC",http://www.deluccieohara.com,https://www.google.com/maps/place/?q=place_id:ChIJycHVPUD9wIcRWC1vfFicNP0,,Independence,MO,Jackson,(816) 836-1112,,General,411 W Maple Ave C,64050,Kansas City,4
Easter Law,http://www.easterlawllc.com/,https://www.google.com/maps/place/?q=place_id:ChIJm66RwWLwwIcRFX8xO3KXq5Q,,Independence,MO,Jackson,(816) 608-2313,paralegal@easterlawllc.com,Criminal Defense,1112 S Hardy Ave,64052,Kansas City,5
Foley Law - KC Metro Traffic,http://www.kcmetrotraffic.com,,,Independence,MO,Jackson,(816) 472-4357,,General,4016 S Lynn Ct Dr Ste B,64055,Kansas City,4
"Foxx Law, L.L.C.",http://foxxlawkc.com/?utm_source=gmb&utm_medium=referral,https://www.google.com/maps/place/?q=place_id:ChIJ1wq4eyz9wIcR1OWHdZBO20o,,Independence,MO,Jackson,(816) 599-0424,jessica@foxxlawkc.com,Family Law,501 W Lexington Ave,64050,Kansas City,4
"Gabriele Law Firm, LLC",https://www.gabrielelawfirm.com/#utm_source=GMB&utm_medium=Organic&utm_campaign=Listing,https://www.google.com/maps/place/?q=place_id:ChIJW6cPrGr9wIcR6yceKKXc1XM,,Independence,MO,Jackson,(816) 352-8510,daniel@gabrielelawfirm.com,Criminal Defense,201 N Spring St,64050,Kansas City,5
Gepford Law Group Lc,http://gepfordlaw.com,https://www.google.com/maps/place/?q=place_id:ChIJCTzHYiDpwIcR2qOdhHEYUiQ,,Independence,MO,Jackson,(816) 333-9600,,General,300 S Liberty St,64050,Kansas City,4
"Grubb Law Firm, P.C.",https://www.grubblawfirm.com,,,Independence,MO,Jackson,(816) 252-8848,,General,114 S Main St Ste 101,64050,Kansas City,4
Halas Law,,,,Independence,MO,Jackson,(816) 461-1800,,General,3600 S Noland Rd Ste L,64055,Kansas City,4
Jacoby Law Firm LLC,http://www.michaelsmithlegal.com/,https://www.google.com/maps/place/?q=place_id:ChIJMUwqPhX9wIcRnHKxL32oK6I,,Independence,MO,Jackson,(816) 228-3332,,Family Law,201 N Spring St,64050,Kansas City,4
"Jennifer Benedict Law Office, LLC",https://www.jbenedictlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJUZhmcxX9wIcRJ3lEEtFqOTk,,Independence,MO,Jackson,(816) 252-9400,jennifer.benedict@jbenedictlaw.com,Personal Injury,411 W Maple Ave C,64050,Kansas City,5
John Sommer Attorney at Law,http://www.johnsommerlawoffice.vpweb.com,,,Independence,MO,Jackson,(816) 795-7000,,Social Security Disability,19049 E Valley View Pkwy Ste B,64055,Kansas City,1
Kasey W Benjamin,http://www.hfmlegal.com/,https://www.google.com/maps/place/?q=place_id:ChIJW6cPrGr9wIcRn9hgv2-Q2sc,,Independence,MO,Jackson,(816) 836-5050,contact@hfmlegal.com,Personal Injury,221 W Lexington Ave Suite 400,64050,Kansas City,5
Kelli Caldwell Law Office,http://lawyerofficeindependence.com,,,Independence,MO,Jackson,(816) 399-5195,,General,110 W Maple Ave,64050,Kansas City,4
Kellogg Charles A,http://www.mudd-law.net,https://www.google.com/maps/place/?q=place_id:ChIJ3V7B2T_9wIcR5lxMd7bQsAg,,Independence,MO,Jackson,(816) 461-1380,,General,400 W Kansas Ave,64050,Kansas City,4
Kennedy Law,http://www.dankennedylaw.com,,,Independence,MO,Jackson,(913) 274-9220,,General,201 N Spring St,64050,Kansas City,4
Law Office of Kevin D Brown,,,,Independence,MO,Jackson,(816) 859-5787,,General,3300 S Seminole Ct,64057,Kansas City,4
Law Offices of Brian R Barjenbruch,http://www.barjenbruchlaw.com,,,Independence,MO,Jackson,(816) 668-5323,,General,3720 Arrowhead Ave,64057,Kansas City,4
"Law Offices of Thomas R. Bellmann, P.C.",http://independencemolawyers.com,,,Independence,MO,Jackson,(816) 492-2881,,General,311 W Kansas Ave,64050,Kansas City,4
Law Tymes Savr,,,,Independence,MO,Jackson,(816) 373-1244,,General,4731 S Cochise Dr,64055,Kansas City,4
Leonard L Meyer Law Office,,,,Independence,MO,Jackson,(816) 373-0977,,General,14701 E 42nd St S,64055,Kansas City,4
Leongatha Law,,,,Independence,MO,Jackson,(816) 373-8100,,General,14801 E 42nd St S,64055,Kansas City,4
Levota Law Office,http://www.phillevota.com,,,Independence,MO,Jackson,(816) 889-9200,plevota@yahoo.com,Intellectual Property,1218 S Noland Rd,64055,Kansas City,1
"Mark Forest, Attorney At Law",https://markforestlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ9YNWd2r9wIcRZY5nhfXqfk4,,Independence,MO,Jackson,(816) 472-0082,mforestlawoffice@scbglobal.net,Personal Injury,221 W Lexington Ave STE 100,64050,Kansas City,5
Mcardle Law Firm,http://www.mcardlelawfirm.com,,,Independence,MO,Jackson,(816) 533-3652,,General,4710 S Cedar Crest Ct,64055,Kansas City,4
"Michael J Englert, Attorney at Law-",http://michaelenglertlaw.com,,,Independence,MO,Jackson,(816) 252-2132,mikejoeenglert@gmail.com,Criminal Defense,209 W Lexington Ave,64050,Kansas City,5
Missouri Bankruptcy Center,http://www.missouri-bankruptcy.com/,https://www.google.com/maps/place/?q=place_id:ChIJK44nlEH9wIcR3vZBD68Hfts,,Independence,MO,Jackson,(816) 373-7379,,Bankruptcy,4016 S Lynn Ct Dr,64055,Kansas City,2
Patton Knipp Dean,http://www.pattonknipp.com,,,Independence,MO,Jackson,(913) 495-9998,,Social Security Disability,3720 Arrowhead Ave,64057,Kansas City,1
Pender Sharlie,,,,Independence,MO,Jackson,(816) 254-3395,,General,10510 E 23rd St S,64052,Kansas City,4
Piedimonte James R,http://www.jpiedimontelaw.com,,,Independence,MO,Jackson,(816) 254-6477,james@jpiedimontelaw.com,Family Law,209 S Spring St,64050,Kansas City,4
Piedimonte Law Firm,,,,Independence,MO,Jackson,(816) 398-7405,,General,"317 W Kansas Ave, Independence, MO 64050",64050,Kansas City,4
Raymond E Moore PC,http://www.raymondemoorepc.com,,https://lawyers.justia.com/lawyer/raymond-moore-950190,Independence,MO,Jackson,(816) 373-3003,info@raymondemoorepc.com,Estate Planning,1000 E US Highway 24,64050,Kansas City,2
Richard J Koury II,http://www.kouryinvestments.com/lawoffice.htm,,,Independence,MO,Jackson,(816) 836-4500,,General,315 W Kansas Ave,64050,Kansas City,4
Scaglia Law Firm,http://www.scaglialaw.com,,,Independence,MO,Jackson,(816) 221-7224,,General,4215 S Hocker Dr,64055,Kansas City,4
"Sloan Law Office, LLC",https://sloanlawkc.com/,https://www.google.com/maps/place/?q=place_id:ChIJyYYAb74dwYcRRVJkTNQ_fYA,,Independence,MO,Jackson,(816) 777-1340,,General,19049 E Valley View Pkwy ste. b,64102,Kansas City,4
"Spitaleri Law Firm, LLC",http://www.spitalerilaw.com/locations/,https://www.google.com/maps/place/?q=place_id:ChIJY4kVzj_9wIcRrzgb2KSawXM,,Independence,MO,Jackson,(816) 787-1898,,Social Security Disability,200 S Spring St #200,64050,Kansas City,1
"Stange Law Firm, PC",,,,Independence,MO,Jackson,(816) 875-4505,,General,,64102,Kansas City,4
"Stilley Law Office, LLC",http://www.stilleylaw.com,,,Independence,MO,Jackson,(816) 291-4614,,General,19401 E US Highway 40 Ste 150,64055,Kansas City,4
Sypher Law Group,http://www.sypherlaw.com,,,Independence,MO,Jackson,(816) 833-8391,,Bankruptcy,3640 S Noland Rd,64055,Kansas City,2
Ted D. Barnes Attorney At Law,,https://www.google.com/maps/place/?q=place_id:ChIJ63YNFZriwIcRR9Ig9PU5-M0,,Independence,MO,Jackson,(816) 373-2060,,Criminal Defense,14801 E 42nd St S,64102,Kansas City,5
"The Backer Law Firm, LLC",https://www.backerlaw.net/?npcmp=dir:local:3411044:64055,https://www.google.com/maps/place/?q=place_id:ChIJ6wVEOJriwIcRHEzMtw7kGvw,,Independence,MO,Jackson,(816) 399-5219,,Personal Injury,14801 E 42nd St S Suite 100,64102,Kansas City,5
The Gordon Law Firm,http://www.gordonlawkc.com/,https://www.google.com/maps/place/?q=place_id:ChIJeYLpdB7jwIcRmHdv8QtjvW8,,Independence,MO,Jackson,(816) 569-6925,,Family Law,114 S Main St,64050,Kansas City,4
"The Horn Law Firm, P.C.",http://www.hornlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJKYHuav4cwYcRDUXUkwjjnWM,,Independence,MO,Jackson,(816) 795-7500,dhorn@hornlaw.com,Personal Injury,19049 E Valley View Pkwy ste j,64102,Kansas City,5
The Law Offices of Larry Buccero,http://www.buccerolaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ7XMRL2fwwIcRuSwNWJAZZpk,,Independence,MO,Jackson,(816) 842-6228,,Personal Injury,14801 E 42nd St S Suite 1500,64102,Kansas City,5
"The Law Offices of Les D. Wight, LLC",http://www.familymatter.com/,https://www.google.com/maps/place/?q=place_id:ChIJ4aJQjhX9wIcRgFY2cAunQlM,,Independence,MO,Jackson,(816) 836-4000,thelaw@familymatter.com,Criminal Defense,530 East 23rd St S,64055,Kansas City,5
"The Patel Law Firm, LLC",http://www.kpatellaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJkeEjKUD9wIcRl5g02KWDhZc,,Independence,MO,Jackson,(888) 428-9427,,Personal Injury,114 S Main St Suite 104,64050,Kansas City,5
The Thompson Tax Lawyer Group,,,,Independence,MO,Jackson,(816) 287-4565,,General,18001 E. 24 Highway #32,64055,Kansas City,4
Vest Professional Placement Firm,https://www.vestpros.com,,,Independence,MO,Jackson,(816) 282-6288,Recruiters@VestPros.com,Immigration,12626 E US Highway 40,64055,Kansas City,2
W M Law - Independence Office,https://kansascitybankruptcy.com/independence-mo/,https://www.google.com/maps/place/?q=place_id:ChIJ12yiNSTwwIcR8vPHLxhVi5s,,Independence,MO,Jackson,(913) 422-0909,,General,3720 Arrowhead Ave #102,64057,Kansas City,4
Waits Dennis R,,https://www.google.com/maps/place/?q=place_id:ChIJBRb6GUD9wIcR9UAYGW58nt8,,Independence,MO,Jackson,(816) 461-4242,,Criminal Defense,200 S Spring St,64050,Kansas City,5
Waits Law Firm LLC,https://waitslawfirm.cliogrow.com/,https://www.google.com/maps/place/?q=place_id:ChIJBRb6GUD9wIcRit8XqkMzHzc,,Independence,MO,Jackson,(816) 283-3337,courtney@waits-law.com,Family Law,200 S Spring St,64050,Kansas City,4
"White, Graham, Buckley & Carr LLC",https://wgbclaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJKYHuav4cwYcRmuKxdWOYZfo,,Independence,MO,Jackson,(816) 373-9080,"bcarr@wagblaw.com, bcochran@wagblaw.com",Personal Injury,19049 E Valley View Pkwy,64102,Kansas City,5
