law_firm_name,website,google_business_profile,legal_directory_listing,city,state,county,phone_number,email,practice_area,street_address,zip_code,msa,priority
"Fitzpatrick, Donald J",,,,St. Louis,MO,St. Louis City,(314) 241-9090,,General,10 S Broadway,63102,St. Louis,4
Flanagan Terry J Attorney,,,,St. Louis,MO,St. Louis City,(314) 621-3743,,General,133 S 11th St,63102,St. Louis,4
Forest Park Golf Course,https://www.forestparkgc.com,,,St. Louis,MO,St. Louis City,(314) 367-1337,,Social Security Disability,6141 Lagoon Dr,63112,St. Louis,1
Foster + Bloom Family Formation Law Group,https://fosterbloomlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJM762iXC12IcRTcKK6enS140,,St. Louis,MO,St. Louis City,(855) 784-7484,,Family Law,232 Kingshighway Blvd APT 1109,63108,St. Louis,4
"Fox, Dennis W. Attorney at Law",http://dwfox.com,,,St. Louis,MO,St. Louis City,(314) 241-9666,,Social Security Disability,211 N Broadway,63102,St. Louis,1
Frank and Mueller Law Offices,,,,St. Louis,MO,St. Louis City,(314) 421-4441,,General,"410 North 21st Street, Suite 401",63103,St. Louis,4
Frederick Hawk Law Office,https://www.reachattorneys.com/lawyers/missouri/st-louis/frederick-hawk-law-office/,https://www.google.com/maps/place/?q=place_id:ChIJmcRr23xVdkARAl7sUo08Nd8,,St. Louis,MO,St. Louis City,(314) 303-4737,,General,1915 Cherokee St,63118,St. Louis,4
Ghio Law Firm LLC,http://www.ghioemploymentlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ29RChWe02IcRmM-ehxWeK7I,,St. Louis,MO,St. Louis City,(314) 707-5853,matt@ghioemploymentlaw.com,Employment Law,3115 S Grand Blvd Suite 100,63118,St. Louis,3
Goldberg Law Firm,http://goldberglawllc.com,,,St. Louis,MO,St. Louis City,(314) 771-1915,,General,1014 Lami St,63104,St. Louis,4
"Gonzalez Herrera Law Firm, LLC",http://gonzalezherreralaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJuZZ7vum12IcR5ycy_1NsJc8,,St. Louis,MO,St. Louis City,(314) 637-9994,,Family Law,3407 S Jefferson Ave Suite 003B,63118,St. Louis,4
Gray Ritter Graham,https://www.grgpc.com,,,St. Louis,MO,St. Louis City,(314) 241-5620,,Personal Injury,"701 Market Street, Suite 800",63101,St. Louis,5
Great Rivers Environmental Law Center,http://www.greatriverslaw.org,,,St. Louis,MO,St. Louis City,(314) 231-4181,info@greatriverslaw.org,Social Security Disability,705 Olive St,63101,St. Louis,1
"Groupigg, LLC",,,,St. Louis,MO,St. Louis City,(314) 596-2229,,General,3010 Locust St Ste 100,63103,St. Louis,4
Guirl Law Firm,http://www.guirlfirm.com,,,St. Louis,MO,St. Louis City,(314) 621-6400,,Personal Injury,"1010 Market Street, #1600",63101,St. Louis,5
Hacking Immigration Law,https://hackinglawpractice.com/contact-us/?utm_source=GMBlisting&utm_medium=GMB_Profile&location=St_Louis,https://www.google.com/maps/place/?q=place_id:ChIJabTD5zOz2IcR8h5_sLivGa4,,St. Louis,MO,St. Louis City,(314) 961-8200,,Immigration,500 N Broadway Suite 1860C,63102,St. Louis,2
Haffner Law Firm,http://www.haffnerlawfirm.com,,,St. Louis,MO,St. Louis City,(314) 647-2112,,Personal Injury,3228 Ivanhoe Ave,63139,St. Louis,5
Hancock & Associates,,,,St. Louis,MO,St. Louis City,(314) 531-9400,,General,3920 Lindell Blvd,63108,St. Louis,4
Haupt James S,http://www.injuryattorneystl.com,,,St. Louis,MO,St. Louis City,(314) 621-5667,,General,1108 Olive St Ste 210,63101,St. Louis,4
Help with Bankruptcy,,,,St. Louis,MO,St. Louis City,(314) 824-8759,,General,3056 Fair Ave,63115,St. Louis,4
"Henderson Law Group, P.C.",https://www.stlcriminaldefense.com/?utm_campaign=gmb,https://www.google.com/maps/place/?q=place_id:ChIJz_ZK0FoxjYIR-VjVE7xEcxU,,St. Louis,MO,St. Louis City,(314) 645-4400,henderson@hwlawpc.com,Criminal Defense,6 Cardinal Wy Suite 900,63102,St. Louis,5
Hill & Company IRS Tax Lawyers,,,,St. Louis,MO,St. Louis City,(417) 423-7048,,General,111 N Newstead Ave #9,63108,St. Louis,4
"Hipskind & McAninch, LLC",https://www.hm-attorneys.com/st-louis-personal-injury-lawyer/?utm_campaign=gmb,https://www.google.com/maps/place/?q=place_id:ChIJPbnB572z2IcRZrANDD1aTLg,,St. Louis,MO,St. Louis City,(314) 530-1921,,Personal Injury,4500 W Pine Blvd Suite 300,63108,St. Louis,5
"Hoffman & Gelfman Attorneys, PC",https://www.attorneystl.com/,https://www.google.com/maps/place/?q=place_id:ChIJUzb2wBCz2IcRFeQShhCOPfQ,,St. Louis,MO,St. Louis City,(314) 241-1020,,Personal Injury,133 S 11th St #310,63102,St. Louis,5
Hogan Law Group,https://www.hoganlaw.net,,,St. Louis,MO,St. Louis City,(314) 684-8364,,Personal Injury,1900 Locust St Ste 302,63103,St. Louis,5
Hullverson Law Firm,http://hullverson.com,,,St. Louis,MO,St. Louis City,(314) 421-2313,,Personal Injury,1010 Market St Ste 1480,63101,St. Louis,5
Huson Lynn R Law Office,,,,St. Louis,MO,St. Louis City,(314) 454-1455,,General,393 N Euclid Ave,63108,St. Louis,4
IRS Federal Tax Relief Lawyers,,,,St. Louis,MO,St. Louis City,(888) 661-0213,,General,4344 Shaw Blvd,63110,St. Louis,4
IRS Income Tax Lawyers,,,,St. Louis,MO,St. Louis City,(888) 605-5659,,General,5200 Daggett Ave,63110,St. Louis,4
Illustrious Vision LLC,http://www.illustriousvision.com,,,St. Louis,MO,St. Louis City,(314) 932-5542,,General,1909 Washington Ave,63103,St. Louis,4
In-Law,,,,St. Louis,MO,St. Louis City,,,General,513 Dover Pl,63111,St. Louis,4
International Paper-St Louis,http://www.internationalpaper.com,,,St. Louis,MO,St. Louis City,(314) 679-6000,,Social Security Disability,5300 Bircher Blvd,63120,St. Louis,1
J.A.G.’s Paralegal Services LLC,http://jagsparalegalservicesllcjagslaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJFfMJt_g134cRhOz8H7QnMGs,,St. Louis,MO,St. Louis City,(314) 624-0503,jgranderson@jamesgrandersonjagslaw.com,Family Law,4561 Durant Ave,63115,St. Louis,4
James P Lemonds Law,http://www.lemondslaw.com,,,St. Louis,MO,St. Louis City,(314) 704-0028,,General,720 Olive St,63101,St. Louis,4
John Buchmiller & Associates LLC,,,,St. Louis,MO,St. Louis City,(314) 742-9430,,General,6 Cardinal Way Ste 900,63102,St. Louis,4
John W. Peel - Attorney at Law Flanagan & Peel,http://www.johnpeellaw.com,,,St. Louis,MO,St. Louis City,(314) 621-9797,,General,133 S 11th St Ste 350,63102,St. Louis,4
"Johnson, Robert G - Sedey Harper",http://www.sedeyharper.com,,,St. Louis,MO,St. Louis City,(314) 773-3566,,Personal Injury,2711 Clifton Ave,63139,St. Louis,5
Jones Law,http://joneslawstl.com,,,St. Louis,MO,St. Louis City,(314) 361-7200,fjones@joneslawfirm.info,Personal Injury,408 N Euclid Ave Ste 3S,63108,St. Louis,5
"Joseph P. Welch, Attorney at Law",https://www.freeallprisoners.com/,https://www.google.com/maps/place/?q=place_id:ChIJ29RChWe02IcRBFE2LPNo8o4,,St. Louis,MO,St. Louis City,(314) 494-9729,,Personal Injury,3115 S Grand Blvd,63118,St. Louis,5
Joseph V. Neill Law Office,http://carneslaw.com,https://www.google.com/maps/place/?q=place_id:ChIJFcbsZPG12IcRZMgd1OSCwv8,,St. Louis,MO,St. Louis City,(314) 353-1001,tcarnes@carneslaw.com,Personal Injury,5201 Hampton Ave,63109,St. Louis,5
Joseph V. Neill et al. Attorneys at Law,,,,St. Louis,MO,St. Louis City,,,General,,63109,St. Louis,4
Jungle Law,http://www.junglelaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJu9ECUXqz2IcRzy-vqnfyER4,,St. Louis,MO,St. Louis City,(314) 314-9111,,General,100 S 4th St Suite 550,63102,St. Louis,4
KP Defense,https://stlouisdefense.com/,https://www.google.com/maps/place/?q=place_id:ChIJez7Wqem12IcRJQ6JozpwGiY,,St. Louis,MO,St. Louis City,(314) 681-9000,,General,2700 Macklind Ave,63139,St. Louis,4
Kadlec Tax Defense Lawyers,,,,St. Louis,MO,St. Louis City,(417) 221-3125,,General,3123 Michigan Ave #6,63118,St. Louis,4
Kathryn J Wysack,http://www.kathywysack.com,,,St. Louis,MO,St. Louis City,(314) 771-4494,kathy@kathywysack.com,Family Law,3201 S Grand Blvd,63118,St. Louis,4
Kaveney Law Firm,https://www.look4lawyer.com/attorneys/missouri/kaveney-frank-j-1484191,,,St. Louis,MO,St. Louis City,(314) 231-5559,,General,113 s. 11th street,63102,St. Louis,4
Kehr Kent & Associates PC,http://kdkpc.com,,,St. Louis,MO,St. Louis City,(314) 241-6014,,General,911 S 13th St,63103,St. Louis,4
Kenneth A Leeds Law Office,https://www.leedspc.com,,,St. Louis,MO,St. Louis City,(314) 726-5555,,Criminal Defense,906 Olive St,63101,St. Louis,5
Kessler Bradford,https://www.kesslerwilliams.com,,,St. Louis,MO,St. Louis City,(314) 863-6363,,Criminal Defense,1520 Washington Ave,63103,St. Louis,5
Kilo Lynn Billingsley Trame Lawfirm,http://kiloflynn.com,,,St. Louis,MO,St. Louis City,(314) 647-8910,jkilo@kiloflynn.com,Personal Injury,5766-5798 Oakland Ave,63110,St. Louis,5
Kriegel & Ituarte,https://www.kriegel-ituartelaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJ26s43IO22IcRU_ja1XWsFLk,,St. Louis,MO,St. Louis City,(314) 352-0505,,General,6100 S Grand Blvd,63111,St. Louis,4
"Lashly & Baer, P.C.",https://www.lashlybaer.com,,,St. Louis,MO,St. Louis City,(314) 621-2939,,Personal Injury,714 Locust St,63101,St. Louis,5
Law Office Of Jerry Croweder,,,,St. Louis,MO,St. Louis City,(314) 241-7199,,General,319 N 4th St,63102,St. Louis,4
Law Office of Andrew S. Martin,https://offsproutone.com/wp-signup.php?new=andrewmartinlegal.com,,,St. Louis,MO,St. Louis City,(314) 328-0123,,General,911 Washington Ave,63101,St. Louis,4
Law Office of Angel Stacy,,,,St. Louis,MO,St. Louis City,(314) 833-9976,,General,5234 Wilson Ave,63110,St. Louis,4
Law Office of Bryan Edwards & Show-Me Lawyer Group,http://showmelawyergroup.com/,https://www.google.com/maps/place/?q=place_id:ChIJvVhbBIiz2IcRTYVAK4Lypu8,,St. Louis,MO,St. Louis City,(314) 675-0377,,Personal Injury,3002 S Jefferson Ave # 207,63118,St. Louis,5
Law Office of Charles H. Huber,http://charleshuberlaw.com,,,St. Louis,MO,St. Louis City,(314) 384-3133,,General,1015 Locust St Ste 1050,63101,St. Louis,4
Law Office of Charles L. Barberio IV,,,,St. Louis,MO,St. Louis City,,,General,4542 West Pine,63108,St. Louis,4
Law Office of Daniel T Ryan,http://www.personalinjurylawyerinstlouis.com,,,St. Louis,MO,St. Louis City,(314) 222-7717,,General,"1717 Park Ave St. Louis, MO",63104,St. Louis,4
Law Office of Kevin A. Green,https://www.lawofficeofkevinagreen.com,,,St. Louis,MO,St. Louis City,(314) 376-4557,,General,4387 Laclede Ave,63108,St. Louis,4
Law Office of McChesney & Ortwerth,http://www.gatewayinjurylaw.com,,,St. Louis,MO,St. Louis City,(866) 211-3814,cortwerth@gatewayinjurylaw.com,Personal Injury,1922 Chouteau Ave,63103,St. Louis,5
Law Office of Pamela Moody,,,,St. Louis,MO,St. Louis City,(314) 535-2327,,General,4144 Lindell Blvd,63108,St. Louis,4
Law Office of Patrick E. Kennedy,https://stldwihelp.com/,https://www.google.com/maps/place/?q=place_id:ChIJDWoZ79W02IcRQBq6I42Y3xg,,St. Louis,MO,St. Louis City,(314) 757-4506,,Personal Injury,393 N Euclid Ave Suite 216,63108,St. Louis,5
Law Office of Richard Brinkman,http://www.attorneybrinkmanstl.com,,,St. Louis,MO,St. Louis City,(314) 772-4010,,General,5824 S Grand Blvd,63111,St. Louis,4
"Law Office of Wesley Bell, LLC",,,,St. Louis,MO,St. Louis City,(314) 621-1765,,General,1221 Locust St,63103,St. Louis,4
Law Offices of Celestine Dotson,,,,St. Louis,MO,St. Louis City,(314) 454-6543,,General,300 N. Tucker Blvd. #305,63101,St. Louis,4
Law Offices of Derald L. Gab,https://deraldgab.com,,,St. Louis,MO,St. Louis City,(314) 367-4878,,Personal Injury,1708 Olive St,63103,St. Louis,5
Law Offices of Frank J Carretero,http://bollwerktatlow.com,,,St. Louis,MO,St. Louis City,(314) 315-8111,,Personal Injury,6100 S Grand Blvd,63111,St. Louis,5
Law Offices of Mark Dean,http://www.markdeanlaw.com,,,St. Louis,MO,St. Louis City,(314) 872-2120,,General,3000 S Jefferson Ave,63118,St. Louis,4
Law Offices of Patrick O'Brien,https://www.felainjury.com,,,St. Louis,MO,St. Louis City,(314) 330-9390,,Personal Injury,326 S 21st St Ste 306,63103,St. Louis,5
Lawrence Group,https://www.thelawrencegroup.com/contact,,,St. Louis,MO,St. Louis City,(314) 231-5700,info@thelawrencegroup.com,Tax Law,4200 Maryland Ave,63108,St. Louis,1
Laws Resale Shop,,,,St. Louis,MO,St. Louis City,(314) 533-8533,,General,2748 N Vandeventer Ave,63113,St. Louis,4
Lawyer Referral and Information Service,http://www.bamsl.org,,,St. Louis,MO,St. Louis City,(314) 621-6681,bamsl@bamsl.org,Bankruptcy,720 Olive St,63101,St. Louis,2
Lee Patton Law,http://www.leepattonlaw.com/,https://www.google.com/maps/place/?q=place_id:ChIJJ1pgzrrN2IcRMAzVB6YM9WI,,St. Louis,MO,St. Louis City,(314) 965-5400,,Personal Injury,11413 Manchester Rd,11413,St. Louis,5
Legacy Law LLC,http://www.legacylawstl.com,,,St. Louis,MO,St. Louis City,(314) 369-0470,,General,3260 Hampton Ave,63139,St. Louis,4
"Lewis Brisbois Bisgaard & Smith, LLP",http://www.lewisbrisbois.com/,https://www.google.com/maps/place/?q=place_id:ChIJCVAeEZiz2IcRtzkt1xPT3VY,,St. Louis,MO,St. Louis City,(314) 685-8346,,Business Law,100 S 4th St Suite 500,63102,St. Louis,2
Lewis Evelyn Attorney,http://www.evelynlewislaw.com,,,St. Louis,MO,St. Louis City,(314) 531-1000,,Criminal Defense,4144 Lindell Blvd,63108,St. Louis,5
Lindhorst Law Firm,,,,St. Louis,MO,St. Louis City,(314) 241-5553,,General,1308 Papin St,63103,St. Louis,4
Luby Edward F Attorney At Law,https://www.lesterlaw.com,,,St. Louis,MO,St. Louis City,(314) 421-5829,,Social Security Disability,1221 Locust St,63103,St. Louis,1
